,City,Cloudiness,Country,Humidity,Lat,Max Temp,Wind Speed
270,Sitka,56,US,87,37.17,26.01,1.01
271,Saldanha,32,PT,86,41.42,38.15,6.06
272,Saint-Pierre,90,FR,93,48.95,46.4,9.17
273,Kangaatsiaq,68,GL,100,68.31,18.71,7.63
274,Snyder,1,US,93,32.72,50.0,14.99
275,Lubango,48,AO,88,-14.92,63.89,2.37
276,Harper,90,US,93,30.3,60.01,10.98
277,Alta Floresta,56,BR,96,-9.87,72.04,2.15
278,Bratskoye,68,UA,82,45.83,34.06,7.96
279,Pimentel,88,BR,98,-3.7,71.54,0.13
280,Amapa,20,HN,88,15.09,75.2,1.92
281,Honningsvag,48,NO,100,70.98,16.96,5.84
282,Havoysund,0,NO,66,71.0,10.4,6.93
283,Camopi,64,GF,86,3.17,74.15,2.82
284,Saint Anthony,1,US,79,43.97,30.2,8.05
285,Salinopolis,92,BR,100,-0.61,77.98,8.19
286,Pringsewu,88,ID,83,-5.36,81.98,2.82
287,Berlevag,20,NO,51,70.86,14.0,5.82
288,Katsuura,75,JP,50,33.93,53.6,12.75
289,Yeppoon,75,AU,78,-23.13,77.0,11.41
290,Kruisfontein,68,ZA,85,-34.0,63.94,5.28
291,Brae,80,GB,87,60.4,44.6,14.99
292,Ust-Tsilma,0,RU,68,65.44,1.52,3.38
293,Vostok,0,RU,45,46.45,30.23,4.16
294,Arnstadt,90,DE,100,50.83,39.99,5.82
295,San Policarpo,8,PH,87,12.18,81.04,10.65
296,Rio Gallegos,40,AR,93,-51.62,55.4,9.17
297,Ancud,75,CL,87,-41.87,51.8,2.24
298,Puerto Cabezas,80,NI,97,14.04,78.43,12.21
299,Carauari,64,BR,96,-4.88,74.33,2.59
300,Boa Vista,0,BR,57,2.82,80.6,8.05
301,Timizart,48,DZ,87,36.8,32.98,1.59
302,Joaquim Nabuco,80,BR,94,-8.62,69.02,2.82
303,Wolbrom,20,PL,92,50.38,28.99,2.24
304,Nelson Bay,40,AU,51,-32.72,82.4,13.87
305,Awbari,0,LY,60,26.59,46.66,5.39
306,Yate,90,GB,93,51.54,48.99,6.93
307,Rome,0,IT,93,41.89,51.01,5.82
308,Boueni,40,YT,83,-12.9,84.2,14.99
309,Kenai,1,US,92,60.55,21.99,2.93
310,Miracema,92,BR,99,-21.41,69.38,3.71
311,Fairbanks,1,US,92,64.84,17.01,2.59
312,Lagunas,100,PE,97,-5.23,72.58,2.26
313,Tocopilla,48,CL,100,-22.09,59.71,2.04
314,Ponta do Sol,48,BR,96,-20.63,65.87,2.15
315,Grindavik,75,IS,93,63.84,39.99,11.41
316,Hamilton,75,BM,82,32.3,68.0,11.41
317,Inuvik,5,CA,49,68.36,-0.41,8.05
318,Yen Bai,24,VN,93,21.7,76.76,1.03
319,Sidi Ali,0,DZ,76,36.1,47.24,6.73
320,Isangel,75,VU,83,-19.55,82.4,10.29
321,Saint-Prosper,0,CA,82,46.21,1.99,1.99
322,La Romana,40,DO,94,18.43,73.4,3.04
323,Colares,75,PT,93,38.8,57.99,8.05
324,Safford,1,US,46,32.83,53.6,5.82
325,Goderich,76,CA,77,43.74,26.01,7.0
326,Suntar,48,RU,64,62.16,18.49,3.71
327,Torbay,90,CA,62,47.66,21.0,21.92
328,Filadelfia,0,PY,73,-22.35,75.86,4.61
329,Port Lincoln,76,AU,83,-34.72,70.91,17.81
330,Ngunguru,0,NZ,70,-35.62,66.99,7.0
331,Coahuayana,0,MX,73,18.62,60.56,2.04
332,Talnakh,76,RU,84,69.49,13.4,20.04
333,Lagoa,0,PT,81,37.14,54.0,2.24
334,Englehart,90,CA,78,47.82,17.6,4.7
335,Asuncion,0,PY,82,-25.3,68.0,2.71
336,Dong Hoi,0,VN,86,17.48,79.82,11.65
337,Cukai,75,MY,66,4.25,87.8,10.29
338,Najran,5,SA,23,17.54,62.6,4.05
339,Botevgrad,0,BG,80,42.91,48.0,2.24
340,Elmira,90,US,90,42.09,32.0,2.37
341,Shingu,40,JP,44,33.72,57.2,5.82
342,Bathsheba,20,BB,78,13.22,77.0,18.34
343,Libourne,90,FR,93,44.91,51.8,11.41
344,Shahr-e Kord,0,IR,78,32.33,14.0,3.71
345,Puerto Leguizamo,36,CO,97,-0.19,73.48,2.15
346,Apastovo,90,RU,85,55.2,23.0,15.66
347,Dingle,0,PH,47,11.0,88.46,9.86
348,Bud,92,NO,65,62.91,41.0,23.04
349,Vestmanna,88,FO,93,62.16,42.8,11.41
350,Karratha,76,AU,22,-20.74,99.17,9.42
351,Astaneh-ye Ashrafiyeh,0,IR,81,37.26,46.4,3.49
352,Jarvakandi,0,EE,78,58.78,25.0,5.01
353,Binzhou,0,CN,22,37.38,57.99,4.38
354,Lengshuijiang,92,CN,99,27.66,45.17,3.49
355,Pudozh,64,RU,79,61.81,9.94,10.31
356,Kieta,92,PG,100,-6.22,79.69,3.83
357,Cap Malheureux,20,MU,74,-19.98,86.0,12.75
358,Boguchany,20,RU,64,58.38,27.89,3.71
359,Barrhead,1,CA,57,54.12,-13.01,6.93
360,Banes,5,CU,94,20.96,73.4,3.36
361,Aktau,75,KZ,81,43.65,42.8,13.42
362,Bethanien,0,NA,42,-26.5,66.01,2.93
363,Vila Velha,20,BR,88,-3.71,77.0,4.7
364,Hervey Bay,40,AU,51,-25.3,82.99,23.04
365,Tautira,20,PF,70,-17.73,84.2,6.93
366,Bismarck,1,US,65,46.81,6.8,6.93
367,Luau,100,CD,98,-10.7,65.15,2.59
368,Mount Isa,40,AU,26,-20.73,95.0,8.05
369,Qingdao,0,CN,40,36.09,53.6,4.47
370,Suba,32,CN,74,28.73,53.81,2.93
371,Saratov,90,RU,92,51.53,30.99,8.95
372,Beyla,0,GN,33,8.69,64.0,5.17
373,Reguengos de Monsaraz,90,PT,100,38.42,48.2,9.17
374,Banff,56,CA,57,51.18,-6.22,2.15
375,Shimoda,20,JP,100,34.7,55.4,11.41
376,Severodvinsk,90,RU,84,64.56,1.4,4.47
377,Mogadishu,0,SO,100,2.04,78.79,9.19
378,Innisfail,5,CA,75,52.02,-16.61,4.7
379,Buin,0,CL,55,-33.73,72.0,3.36
380,Inhambane,40,MZ,94,-23.87,77.0,6.51
381,Vanimo,0,PG,99,-2.67,83.29,15.01
382,Samarai,32,PG,100,-10.62,82.21,11.32
383,Auray,90,FR,93,47.67,51.01,8.05
384,Nuuk,0,GL,86,64.17,33.8,33.33
385,Tiznit,36,MA,96,29.7,48.5,2.93
386,Kurayoshi,75,JP,57,35.43,55.4,10.29
387,Valley City,90,US,83,46.92,-4.01,3.36
388,Surovatikha,20,RU,78,55.77,12.0,11.18
389,Chitral,88,PK,86,35.85,17.63,1.36
390,Darhan,0,MN,41,49.49,41.48,11.43
391,Capitao Poco,92,BR,95,-1.75,72.94,2.93
392,Presidente Venceslau,20,BR,88,-21.88,73.4,5.17
393,Namibe,76,AO,100,-15.19,75.5,1.14
394,Varhaug,20,NO,92,58.61,39.0,4.7
395,Ashland,90,US,93,38.48,37.99,2.93
396,Padang,40,ID,74,-0.92,84.2,5.82
397,Fuerte Olimpo,0,BR,88,-21.04,74.38,4.05
398,Apt,0,FR,66,43.88,50.0,10.29
399,Pitea,90,SE,92,65.32,32.0,11.41
400,Nishihara,40,JP,21,35.74,63.0,8.05
401,Kitimat,90,CA,58,54.02,28.4,11.41
402,Xuddur,0,SO,67,4.12,75.91,8.75
403,Santa Cruz Cabralia,75,BR,88,-16.28,77.0,3.36
404,Tuatapere,0,NZ,71,-46.13,62.01,7.0
405,Lewiston,90,US,92,46.42,26.6,4.7
406,Minot,1,US,70,48.23,1.4,24.16
407,Yar-Sale,64,RU,91,66.83,0.94,2.71
408,Oktyabrskoye,40,RU,85,56.73,32.0,6.71
409,Traverse City,90,US,85,44.76,25.0,3.36
410,Sarab,20,IR,38,38.61,39.2,6.93
411,Hauterive,75,FR,88,46.09,44.6,12.75
412,Mujiayingzi,0,CN,32,42.12,51.74,9.53
413,Nyurba,68,RU,73,63.29,17.18,3.71
414,El Seibo,92,DO,96,18.76,71.59,3.04
415,Gualaquiza,48,EC,97,-3.4,61.06,2.15
416,Iqaluit,20,CA,69,63.75,-11.21,19.46
417,Pangai,20,TO,83,-19.8,84.2,10.29
418,Alagoa Nova,0,BR,83,-7.06,73.4,5.82
419,Huilong,92,CN,96,28.89,43.73,3.27
420,Barabash,0,RU,15,43.19,46.4,6.71
421,San Jose,0,PH,57,15.79,82.66,3.15
422,Mahibadhoo,12,MV,100,3.78,81.98,10.87
423,Sobolevo,56,RU,78,54.43,15.16,11.43
424,Kidal,0,ML,48,18.44,52.28,12.33
425,Banda Aceh,48,ID,85,5.56,84.19,3.94
426,Mehamn,76,NO,80,71.03,16.1,3.94
427,La Sarre,56,CA,57,48.8,5.26,6.62
428,Besikduzu,75,TR,66,41.05,48.2,4.7
429,Santa Cruz,75,US,71,36.97,55.4,6.93
430,Coquimbo,20,CL,87,-29.95,57.2,5.82
431,Presidente Prudente,20,BR,88,-22.12,73.4,4.94
432,Pevek,56,RU,63,69.7,3.19,2.71
433,Vilyuysk,44,RU,67,63.75,9.8,3.71
434,Norman Wells,5,CA,54,65.28,1.4,19.46
435,Lebu,0,ET,55,8.96,62.59,3.94
436,Kroya,92,ID,100,-6.5,72.89,5.5
437,Port Blair,8,IN,100,11.67,82.34,11.54
438,Begoro,76,GH,96,6.38,68.84,2.71
439,Chaumont,90,FR,87,48.11,46.4,6.93
440,Saint Lawrence,20,MT,76,36.06,55.99,19.46
441,Ballina,92,IE,95,54.11,48.0,7.0
442,Zhigansk,12,RU,61,66.77,1.03,3.71
443,Kibre Mengist,0,ET,25,5.87,74.69,3.15
444,Kulhudhuffushi,20,MV,100,6.62,82.97,9.31
445,Imbituba,40,BR,88,-28.24,75.2,8.05
446,Monroe,90,US,68,41.91,28.99,4.7
447,Yulara,40,AU,12,-25.24,102.2,4.7
448,Aripuana,24,BR,94,-9.17,73.88,1.92
449,Merauke,88,ID,100,-8.49,80.72,3.27
450,Mango,0,IT,50,44.69,51.8,2.24
451,Roura,80,GF,88,4.73,75.2,1.12
452,San Patricio,0,PY,81,-26.98,59.75,2.15
453,Rosita,56,NI,88,13.92,71.27,2.15
454,Vilhena,8,BR,94,-12.74,69.11,2.15
455,San Luis,32,AR,32,-33.3,72.04,10.42
456,Manta,32,RO,78,45.1,32.66,3.15
457,Touros,40,BR,94,-5.2,77.0,3.36
458,Isla Mujeres,20,MX,78,21.23,78.8,14.99
459,Ryde,80,GB,93,50.73,50.0,5.82
460,Raymond,90,US,73,43.04,28.4,4.7
461,Kiruna,88,SE,92,67.86,10.4,4.7
462,Baykit,36,RU,73,61.68,18.98,4.16
463,Yantal,76,RU,73,56.85,30.73,4.61
464,Havre-Saint-Pierre,20,CA,51,50.23,12.2,9.17
465,Rafaela,0,AR,59,-31.25,72.0,1.01
466,Sistranda,75,NO,93,63.73,39.2,21.92
467,Dudinka,80,RU,86,69.41,13.13,21.5
468,Udachnyy,0,RU,66,66.42,9.26,3.38
469,Faya,0,SA,93,18.39,55.4,4.7
470,Belmonte,0,PT,96,40.36,48.99,4.27
471,Deputatskiy,48,RU,78,69.3,-5.5,3.04
472,North Platte,1,US,78,41.12,19.0,4.7
473,Murdochville,24,CA,64,48.96,12.95,11.43
474,Sao Felix do Xingu,36,BR,100,-6.64,70.96,1.7
475,Laguna,36,MX,63,27.52,61.91,1.48
476,Ondjiva,44,AO,80,-17.07,68.93,4.83
477,Cabra,8,ES,87,37.47,50.0,2.24
478,San Vicente,90,SV,94,13.64,77.0,3.36
479,Beyneu,76,KZ,90,45.32,33.2,4.72
480,Banjar,92,ID,100,-7.37,73.97,2.37
481,Kalemie,48,CD,100,-5.95,75.01,4.72
482,Male,88,UA,85,50.74,21.05,14.67
483,Stabat,40,ID,66,3.76,89.6,13.87
484,Shizunai,64,JP,76,42.33,31.76,11.21
485,Damara,80,CF,88,4.96,78.8,4.7
486,Budesti,0,RO,69,44.23,39.99,17.22
487,Wukari,48,NG,85,7.87,76.31,9.75
488,Xiuyan,0,CN,28,40.29,57.32,8.97
489,Bosaso,0,SO,100,11.28,77.08,5.95
490,Iquique,0,CL,77,-20.22,68.0,6.93
491,Dwarka,90,IN,82,28.58,68.0,4.7
492,Chuguyevka,0,RU,28,44.17,42.79,4.61
493,Moctezuma,12,MX,60,29.81,50.71,1.92
494,Eseka,80,CM,96,3.65,73.7,2.71
495,Nicolas Bravo,0,MX,75,24.39,42.61,2.59
496,Orono,1,US,84,44.97,16.0,4.7
497,Baglan,90,GB,100,51.62,48.99,3.36
498,Nantucket,90,US,86,41.28,35.6,10.29
499,Winnemucca,90,US,89,40.97,33.8,2.71
500,Meulaboh,24,ID,100,4.14,85.49,3.38
501,Manono,56,CD,92,-7.3,71.45,4.61
502,Komsomolskiy,56,RU,80,67.55,3.19,8.86
503,Fukue,40,JP,84,35.03,60.01,8.05
504,Mana,75,RS,75,43.52,46.4,6.93
505,Niagara Falls,90,CA,79,43.1,28.0,6.93
506,Patamundai,0,IN,64,20.57,82.66,8.86
507,Acajutla,0,SV,89,13.59,70.64,1.92
508,Sur,8,OM,94,22.57,72.31,11.88
509,Batemans Bay,56,AU,51,-35.71,79.0,4.0
510,North Bend,1,US,100,43.41,42.01,5.82
511,Sao Filipe,0,CV,92,14.9,70.64,18.03
512,Cadiz,90,US,74,40.27,36.0,3.36
513,Larap,8,PH,93,14.3,78.92,12.21
514,Tangi,92,PK,99,34.3,44.86,3.6
515,Illapel,0,CL,95,-31.63,57.05,2.37
516,Gizo,40,IL,87,31.8,53.6,9.17
517,Kibakwe,92,TZ,96,-6.71,66.73,3.6
518,Buala,76,SB,85,-8.15,82.88,2.71
519,Pangnirtung,0,CA,25,66.15,-17.43,2.71
520,Millville,90,US,100,39.4,37.99,9.17
521,Karachi,40,PK,49,24.87,69.8,5.82
522,Opuwo,0,NA,83,-18.06,62.72,2.71
523,Gazli,88,UZ,100,40.13,48.77,15.57
524,Aykhal,0,RU,71,65.95,7.51,3.94
525,Maseru,0,LS,45,-29.31,63.58,2.37
526,Zamora,8,ES,97,41.51,39.0,10.31
527,Lanigan,44,CA,66,51.85,-5.28,7.85
528,Kloulklubed,75,PW,69,7.04,82.4,6.93
529,Clyde River,1,CA,77,70.47,-0.41,17.22
530,Klyuchi,20,RU,96,52.25,29.33,4.61
531,Maniitsoq,12,GL,56,65.42,22.81,10.2
532,Zeya,36,RU,54,53.74,26.0,2.93
533,Tondano,40,ID,58,1.3,87.8,6.93
534,Mount Gambier,12,AU,9,-37.83,104.0,18.34
535,Tessalit,0,ML,72,20.2,40.36,4.94
536,Comarapa,24,BO,91,-17.91,49.58,2.59
537,Medea,0,DZ,80,36.27,41.0,2.24
538,Espinosa,36,BR,91,-14.92,64.43,5.84
539,Coihaique,0,CL,54,-45.58,57.2,5.82
540,Soweto,0,ZA,88,-26.22,69.01,1.12
541,San Quintin,12,PH,53,17.54,83.56,6.4
